season,SppAlphaCode,detection_richness,prop_of_sites,ScientificName,CommonNameEnglish
ovrwintr,BCNH,66,0.014084507042253521,Nycticorax nycticorax,Black-crowned Night-Heron
ovrwintr,BEKI,66,0.028169014084507043,Megaceryle alcyon,Belted Kingfisher
ovrwintr,BPLT,66,0.8732394366197183,Phaenicophilus palmarum,Black-crowned Palm-Tanager
ovrwintr,BRPE,66,0.19718309859154928,Pelecanus occidentalis,Brown Pelican
ovrwintr,BUDG,66,0.09859154929577464,NA,NA
ovrwintr,CAEG,66,0.2112676056338028,Bubulcus ibis,Cattle Egret
ovrwintr,CAMA,66,0.4084507042253521,Progne dominicensis,Caribbean Martin
ovrwintr,CASW,66,0.028169014084507043,Petrochelidon fulva,Cave Swallow
ovrwintr,CGDO,66,0.971830985915493,Columbina passerina,Common Ground Dove
ovrwintr,CMWA,66,0.8591549295774648,Setophaga tigrina,Cape May Warbler
ovrwintr,COTE,66,0.056338028169014086,Sterna hirundo,Common Tern
ovrwintr,COYE,66,0.09859154929577464,Geothlypis trichas,Common Yellowthroat
ovrwintr,EUCD,66,0.9577464788732394,Streptopelia decaocto,Eurasian Collared-Dove
ovrwintr,GAGR,66,0.5070422535211268,Quiscalus niger,Greater Antillean Grackle
ovrwintr,GRAK,66,0.971830985915493,Tyrannus dominicensis,Gray Kingbird
ovrwintr,GREG,66,0.08450704225352113,Ardea alba,Great Egret
ovrwintr,GRHE,66,0.09859154929577464,Butorides virescens,Green Heron
ovrwintr,HILC,66,0.4084507042253521,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
ovrwintr,HIMA,66,0.9295774647887324,Anthracothorax dominicus,Hispaniolan Mango
ovrwintr,HIWO,66,0.971830985915493,Melanerpes striatus,Hispaniolan Woodpecker
ovrwintr,HOSP,66,0.971830985915493,Passer domesticus,House Sparrow
ovrwintr,HPAK,66,0.9436619718309859,Psittacara chloropterus,Hispaniolan Parakeet
ovrwintr,HPAT,66,0.4788732394366197,Amazona ventralis,Hispaniolan Parrot
ovrwintr,LAGU,66,0.028169014084507043,Leucophaeus atricilla,Laughing Gull
ovrwintr,LETE,66,0.014084507042253521,Sternula antillarum,Least Tern
