season,detection_richness,SppAlphaCode,ScientificName,CommonNameEnglish
nonbreed,63,RBGR,Pheucticus ludovicianus,Rose-breasted Grosbeak
nonbreed,63,RLTH,Turdus plumbeus,Red-legged Thrush
nonbreed,63,ROPI,Columba livia,Rock Pigeon
nonbreed,63,ROYT,Thalasseus maximus,Royal Tern
nonbreed,63,RUTU,Arenaria interpres,Ruddy Turnstone
nonbreed,63,SATE,Thalasseus sandvicensis,Sandwich Tern
nonbreed,63,SBMU,Lonchura punctulata,Scaly-breasted Munia
nonbreed,63,SEPL,Charadrius semipalmatus,Semipalmated Plover
nonbreed,63,SHCO,Molothrus bonariensis,Shiny Cowbird
nonbreed,63,SNEG,Egretta thula,Snowy Egret
nonbreed,63,SNPI,Patagioenas squamosa,Scaly-naped Pigeon
nonbreed,63,SPSA,Actitis macularius,Spotted Sandpiper
nonbreed,63,TUVU,Cathartes aura,Turkey Vulture
nonbreed,63,VEHU,Mellisuga minima,Vervain Hummingbird
nonbreed,63,VIWE,Ploceus cucullatus,Village Weaver
nonbreed,63,WWDO,Zenaida asiatica,White-winged Dove
nonbreed,63,YCNH,Nyctanassa violacea,Yellow-crowned Night-Heron
nonbreed,63,YFGR,Tiaris olivaceus,Yellow-faced Grassquit
nonbreed,63,YTWA,Setophaga dominica,Yellow-throated Warbler
sprgmigr,71,AMKE,Falco sparverius,American Kestrel
sprgmigr,71,AMRE,Setophaga ruticilla,American Redstart
sprgmigr,71,ANPS,Tachornis phoenicobia,Antillean Palm-Swift
sprgmigr,71,BANA,Coereba flaveola,Bananaquit
sprgmigr,71,BAWW,Mniotilta varia,Black-and-white Warbler
sprgmigr,71,BCNH,Nycticorax nycticorax,Black-crowned Night-Heron
sprgmigr,71,BEKI,Megaceryle alcyon,Belted Kingfisher
sprgmigr,71,BLSW,Cypseloides niger,Black Swift
sprgmigr,71,BPLT,Phaenicophilus palmarum,Black-crowned Palm-Tanager
sprgmigr,71,BRPE,Pelecanus occidentalis,Brown Pelican
sprgmigr,71,BUDG,NA,NA
sprgmigr,71,BWTE,Spatula discors,Blue-winged Teal
sprgmigr,71,BWVI,Vireo altiloquus,Black-whiskered Vireo
sprgmigr,71,CAEG,Bubulcus ibis,Cattle Egret
sprgmigr,71,CAMA,Progne dominicensis,Caribbean Martin
sprgmigr,71,CGDO,Columbina passerina,Common Ground Dove
sprgmigr,71,CMWA,Setophaga tigrina,Cape May Warbler
sprgmigr,71,COGA,Gallinula galeata,Common Gallinule
sprgmigr,71,COYE,Geothlypis trichas,Common Yellowthroat
sprgmigr,71,EUCD,Streptopelia decaocto,Eurasian Collared-Dove
sprgmigr,71,GAGR,Quiscalus niger,Greater Antillean Grackle
sprgmigr,71,GLIB,Plegadis falcinellus,Glossy Ibis
sprgmigr,71,GRAK,Tyrannus dominicensis,Gray Kingbird
sprgmigr,71,GREG,Ardea alba,Great Egret
sprgmigr,71,GRHE,Butorides virescens,Green Heron
sprgmigr,71,HILC,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
sprgmigr,71,HIMA,Anthracothorax dominicus,Hispaniolan Mango
sprgmigr,71,HIWO,Melanerpes striatus,Hispaniolan Woodpecker
sprgmigr,71,HOSP,Passer domesticus,House Sparrow
sprgmigr,71,HPAK,Psittacara chloropterus,Hispaniolan Parakeet
sprgmigr,71,HPAT,Amazona ventralis,Hispaniolan Parrot
sprgmigr,71,KILL,Charadrius vociferus,Killdeer
sprgmigr,71,LAGU,Leucophaeus atricilla,Laughing Gull
sprgmigr,71,LBHE,Egretta caerulea,Little Blue Heron
sprgmigr,71,LEYE,Tringa flavipes,Lesser Yellowlegs
sprgmigr,71,MAFR,Fregata magnificens,Magnificent Frigatebird
sprgmigr,71,MAWA,Setophaga magnolia,Magnolia Warbler
sprgmigr,71,MERL,Falco columbarius,Merlin
sprgmigr,71,MODO,Zenaida macroura,Mourning Dove
sprgmigr,71,NOMO,Mimus polyglottos,Northern Mockingbird
