season,SppAlphaCode,detection_richness,prop_of_sites,ScientificName,CommonNameEnglish
ovrwintr,GAGR,63,0.5070422535211268,Quiscalus niger,Greater Antillean Grackle
ovrwintr,GRAK,63,0.971830985915493,Tyrannus dominicensis,Gray Kingbird
ovrwintr,GREG,63,0.08450704225352113,Ardea alba,Great Egret
ovrwintr,GRHE,63,0.09859154929577464,Butorides virescens,Green Heron
ovrwintr,HILC,63,0.4084507042253521,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
ovrwintr,HIMA,63,0.9295774647887324,Anthracothorax dominicus,Hispaniolan Mango
ovrwintr,HIWO,63,0.971830985915493,Melanerpes striatus,Hispaniolan Woodpecker
ovrwintr,HOSP,63,0.971830985915493,Passer domesticus,House Sparrow
ovrwintr,HPAK,63,0.9436619718309859,Psittacara chloropterus,Hispaniolan Parakeet
ovrwintr,HPAT,63,0.4788732394366197,Amazona ventralis,Hispaniolan Parrot
ovrwintr,LAGU,63,0.014084507042253521,Leucophaeus atricilla,Laughing Gull
ovrwintr,LEYE,63,0.014084507042253521,Tringa flavipes,Lesser Yellowlegs
ovrwintr,MACU,63,0.028169014084507043,Coccyzus minor,Mangrove Cuckoo
ovrwintr,MAFR,63,0.028169014084507043,Fregata magnificens,Magnificent Frigatebird
ovrwintr,MAWA,63,0.014084507042253521,Setophaga magnolia,Magnolia Warbler
ovrwintr,MERL,63,0.8169014084507042,Falco columbarius,Merlin
ovrwintr,MODO,63,0.971830985915493,Zenaida macroura,Mourning Dove
ovrwintr,NOMO,63,0.9577464788732394,Mimus polyglottos,Northern Mockingbird
ovrwintr,NOPA,63,0.7464788732394366,Setophaga americana,Northern Parula
ovrwintr,OSPR,63,0.04225352112676056,Pandion haliaetus,Osprey
ovrwintr,OVEN,63,0.04225352112676056,Seiurus aurocapilla,Ovenbird
ovrwintr,PALM,63,0.971830985915493,Dulus dominicus,Palmchat
ovrwintr,PAWA,63,0.014084507042253521,Setophaga palmarum,Palm Warbler
ovrwintr,PEFA,63,0.2676056338028169,Falco peregrinus,Peregrine Falcon
ovrwintr,PETH,63,0.028169014084507043,Margarops fuscatus,Pearly-eyed Thrasher
ovrwintr,PRAW,63,0.2535211267605634,Setophaga discolor,Prairie Warbler
ovrwintr,RBGR,63,0.014084507042253521,Pheucticus ludovicianus,Rose-breasted Grosbeak
ovrwintr,RLTH,63,0.4507042253521127,Turdus plumbeus,Red-legged Thrush
ovrwintr,ROPI,63,0.971830985915493,Columba livia,Rock Pigeon
ovrwintr,ROYT,63,0.08450704225352113,Thalasseus maximus,Royal Tern
ovrwintr,RUTU,63,0.014084507042253521,Arenaria interpres,Ruddy Turnstone
ovrwintr,SATE,63,0.028169014084507043,Thalasseus sandvicensis,Sandwich Tern
ovrwintr,SBMU,63,0.08450704225352113,Lonchura punctulata,Scaly-breasted Munia
ovrwintr,SEPL,63,0.028169014084507043,Charadrius semipalmatus,Semipalmated Plover
ovrwintr,SHCO,63,0.08450704225352113,Molothrus bonariensis,Shiny Cowbird
ovrwintr,SNEG,63,0.04225352112676056,Egretta thula,Snowy Egret
ovrwintr,SNPI,63,0.056338028169014086,Patagioenas squamosa,Scaly-naped Pigeon
ovrwintr,SPSA,63,0.08450704225352113,Actitis macularius,Spotted Sandpiper
ovrwintr,TUVU,63,0.014084507042253521,Cathartes aura,Turkey Vulture
ovrwintr,VEHU,63,0.9436619718309859,Mellisuga minima,Vervain Hummingbird
ovrwintr,VIWE,63,0.352112676056338,Ploceus cucullatus,Village Weaver
ovrwintr,WWDO,63,0.971830985915493,Zenaida asiatica,White-winged Dove
ovrwintr,YCNH,63,0.14084507042253522,Nyctanassa violacea,Yellow-crowned Night-Heron
ovrwintr,YFGR,63,0.9295774647887324,Tiaris olivaceus,Yellow-faced Grassquit
ovrwintr,YTWA,63,0.14084507042253522,Setophaga dominica,Yellow-throated Warbler
sprgmigr,AMKE,71,0.971830985915493,Falco sparverius,American Kestrel
sprgmigr,AMRE,71,0.676056338028169,Setophaga ruticilla,American Redstart
sprgmigr,ANPS,71,0.5070422535211268,Tachornis phoenicobia,Antillean Palm-Swift
sprgmigr,BANA,71,0.971830985915493,Coereba flaveola,Bananaquit
sprgmigr,BAWW,71,0.11267605633802817,Mniotilta varia,Black-and-white Warbler
sprgmigr,BCNH,71,0.014084507042253521,Nycticorax nycticorax,Black-crowned Night-Heron
sprgmigr,BEKI,71,0.04225352112676056,Megaceryle alcyon,Belted Kingfisher
sprgmigr,BLSW,71,0.014084507042253521,Cypseloides niger,Black Swift
sprgmigr,BPLT,71,0.8591549295774648,Phaenicophilus palmarum,Black-crowned Palm-Tanager
sprgmigr,BRPE,71,0.07042253521126761,Pelecanus occidentalis,Brown Pelican
sprgmigr,BUDG,71,0.056338028169014086,NA,NA
sprgmigr,BWTE,71,0.014084507042253521,Spatula discors,Blue-winged Teal
sprgmigr,BWVI,71,0.04225352112676056,Vireo altiloquus,Black-whiskered Vireo
sprgmigr,CAEG,71,0.28169014084507044,Bubulcus ibis,Cattle Egret
sprgmigr,CAMA,71,0.23943661971830985,Progne dominicensis,Caribbean Martin
sprgmigr,CGDO,71,0.971830985915493,Columbina passerina,Common Ground Dove
sprgmigr,CMWA,71,0.8450704225352113,Setophaga tigrina,Cape May Warbler
sprgmigr,COGA,71,0.028169014084507043,Gallinula galeata,Common Gallinule
sprgmigr,COYE,71,0.07042253521126761,Geothlypis trichas,Common Yellowthroat
sprgmigr,EUCD,71,0.971830985915493,Streptopelia decaocto,Eurasian Collared-Dove
sprgmigr,GAGR,71,0.5352112676056338,Quiscalus niger,Greater Antillean Grackle
sprgmigr,GLIB,71,0.014084507042253521,Plegadis falcinellus,Glossy Ibis
sprgmigr,GRAK,71,0.971830985915493,Tyrannus dominicensis,Gray Kingbird
sprgmigr,GREG,71,0.1267605633802817,Ardea alba,Great Egret
sprgmigr,GRHE,71,0.14084507042253522,Butorides virescens,Green Heron
sprgmigr,HILC,71,0.4788732394366197,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
sprgmigr,HIMA,71,0.9436619718309859,Anthracothorax dominicus,Hispaniolan Mango
sprgmigr,HIWO,71,0.971830985915493,Melanerpes striatus,Hispaniolan Woodpecker
sprgmigr,HOSP,71,0.971830985915493,Passer domesticus,House Sparrow
sprgmigr,HPAK,71,0.9295774647887324,Psittacara chloropterus,Hispaniolan Parakeet
sprgmigr,HPAT,71,0.49295774647887325,Amazona ventralis,Hispaniolan Parrot
sprgmigr,KILL,71,0.014084507042253521,Charadrius vociferus,Killdeer
sprgmigr,LAGU,71,0.014084507042253521,Leucophaeus atricilla,Laughing Gull
sprgmigr,LBHE,71,0.014084507042253521,Egretta caerulea,Little Blue Heron
sprgmigr,LEYE,71,0.014084507042253521,Tringa flavipes,Lesser Yellowlegs
sprgmigr,MAFR,71,0.056338028169014086,Fregata magnificens,Magnificent Frigatebird
sprgmigr,MAWA,71,0.014084507042253521,Setophaga magnolia,Magnolia Warbler
sprgmigr,MERL,71,0.7183098591549296,Falco columbarius,Merlin
sprgmigr,MODO,71,0.971830985915493,Zenaida macroura,Mourning Dove
sprgmigr,NOMO,71,0.9577464788732394,Mimus polyglottos,Northern Mockingbird
sprgmigr,NOPA,71,0.676056338028169,Setophaga americana,Northern Parula
sprgmigr,NOWA,71,0.014084507042253521,Parkesia noveboracensis,Northern Waterthrush
sprgmigr,OSPR,71,0.028169014084507043,Pandion haliaetus,Osprey
sprgmigr,PALM,71,0.971830985915493,Dulus dominicus,Palmchat
sprgmigr,PEFA,71,0.18309859154929578,Falco peregrinus,Peregrine Falcon
sprgmigr,PETH,71,0.014084507042253521,Margarops fuscatus,Pearly-eyed Thrasher
sprgmigr,PRAW,71,0.14084507042253522,Setophaga discolor,Prairie Warbler
sprgmigr,PROW,71,0.028169014084507043,Protonotaria citrea,Prothonotary Warbler
sprgmigr,RFLO,71,0.014084507042253521,Agapornis roseicollis,Rosy-faced Lovebird
sprgmigr,RLTH,71,0.4507042253521127,Turdus plumbeus,Red-legged Thrush
sprgmigr,ROPI,71,0.971830985915493,Columba livia,Rock Pigeon
sprgmigr,ROYT,71,0.09859154929577464,Thalasseus maximus,Royal Tern
sprgmigr,RUTU,71,0.028169014084507043,Arenaria interpres,Ruddy Turnstone
sprgmigr,SATE,71,0.014084507042253521,Thalasseus sandvicensis,Sandwich Tern
sprgmigr,SBAN,71,0.04225352112676056,Crotophaga ani,Smooth-billed Ani
sprgmigr,SBMU,71,0.09859154929577464,Lonchura punctulata,Scaly-breasted Munia
sprgmigr,SEPL,71,0.028169014084507043,Charadrius semipalmatus,Semipalmated Plover
sprgmigr,SESA,71,0.014084507042253521,Calidris pusilla,Semipalmated Sandpiper
sprgmigr,SHCO,71,0.30985915492957744,Molothrus bonariensis,Shiny Cowbird
sprgmigr,SNEG,71,0.028169014084507043,Egretta thula,Snowy Egret
sprgmigr,SNPI,71,0.014084507042253521,Patagioenas squamosa,Scaly-naped Pigeon
sprgmigr,SPSA,71,0.056338028169014086,Actitis macularius,Spotted Sandpiper
sprgmigr,SUCO,71,0.04225352112676056,Cacatua galerita,Sulphur-crested Cockatoo
sprgmigr,TUVU,71,0.014084507042253521,Cathartes aura,Turkey Vulture
sprgmigr,VEHU,71,0.9154929577464789,Mellisuga minima,Vervain Hummingbird
sprgmigr,VIWE,71,0.5633802816901409,Ploceus cucullatus,Village Weaver
sprgmigr,WILL,71,0.056338028169014086,Tringa semipalmata,Willet
sprgmigr,WWDO,71,0.971830985915493,Zenaida asiatica,White-winged Dove
sprgmigr,YCNH,71,0.22535211267605634,Nyctanassa violacea,Yellow-crowned Night-Heron
sprgmigr,YFGR,71,0.9154929577464789,Tiaris olivaceus,Yellow-faced Grassquit
sprgmigr,YTWA,71,0.028169014084507043,Setophaga dominica,Yellow-throated Warbler
